[18:24:50] [main/INFO]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 39.0.79, --fml.mcVersion, 1.18.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20211210.034407, nogui]
[18:24:50] [main/INFO]: ModLauncher 9.1.0+9.1.0+main.6690ee51 starting: java version 17.0.1 by Oracle Corporation
[18:24:51] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/home/mch/multicraft/servers/server173959/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2319!/ Service=ModLauncher Env=SERVER
[18:24:52] [main/INFO]: Found mod file [1.18.1] SecurityCraft v1.9.0.2-beta1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AdChimneys-1.18.1-7.0.0.1-build.0043.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AdHooks-1.18.1-7.0.0.1-build.0050.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file advancedperipherals-1.18.1-0.7.11b.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AdvancementPlaques-1.18.1-1.4.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AI-Improvements-1.18-0.4.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AkashicTome-1.5-17.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file alexsmobs-1.17.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file all_in_the_quiver-1.18.1-1.1.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file angelring-1.18-1.5.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AnimalCrops-1.18.1-1.0.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file appleskin-forge-mc1.18-2.3.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Aquaculture-1.18.1-2.3.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file architectury-3.7.26.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file armorplus-1.18.1-18.0.3-beta.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ars_creo-1.18.1-1.0.0-BETA1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ars_nouveau-1.18.1-2.2.9.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file artifacts-1.18.1-4.0.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file assemblylinemachines-1.18.1-1.3.8.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
